IMO,NAME,TYPE,FLAG,ARRIV/TIME,BERTH,LPOC,NPOC,PORT,ARRI/DATE
9357547,CMA CGM SAIGON,CONTAINER SHIP,MALTA,1200,EW-8+9,JEBEL ALI,KARACHI,KPT,10/17/2024
9224506,WAN HAI 611,CONTAINER SHIP,LIBERIA,1210,WW-28+29,COLOMBO,KARACHI,KPT,10/17/2024
9270555,QUETTA,CRUDE OIL TANKER,PAKISTAN,1335,OP-3,RAS TANURA,KARACHI,KPT,10/17/2024
9278765,KANG YU,BULK CARRIER,CHINA,2215,EW-13+14,MULDWARKA,KARACHI,KPT,10/17/2024
9699270,HELSINKI EAGLE,BULK CARRIER,MARSHALL ISLANDS,2255,EW-11+12,PORT QASIM,KARACHI,KPT,10/17/2024
9967471,X PRESS PHOENIX,CONTAINER SHIP,SINGAPORE,2330,SAPT-4,PIPAVAV,KARACHI,KPT,10/17/2024
9565730,CHEMROAD SEA,OIL/CHEMICAL TANKER,PANAMA,1830,EVTL,JORF LASFAR,PORT QASIM,PQA,10/17/2024
9856309,BERGE CATHERINE,BULK CARRIER,PANAMA,450,EW-14+15,PORT QASIM,KARACHI,KPT,10/18/2024
9967524,X PRESS PISCES,CONTAINER SHIP,SINGAPORE ,1205,SAPT-2,NHAVA SHEVA,KARACHI,KPT,10/18/2024
9308508,BEIJING,CONTAINER SHIP,MALTA,2330,SAPT-4,PIPAVAV,KARACHI,KPT,10/18/2024
9426142,CURACAO,BULK CARRIER,LIBERIA,1430,PQEPT,MAPUTO,PORT QASIM,PQA,10/18/2024
9565766,SONGA NEPTUNE,OIL/CHEMICAL TANKER,MARSHALL ISLANDS,40,EW-1,AL JUBAIL,KARACHI,KPT,10/19/2024
9455909,GFS RUBY,CONTAINER SHIP,SINGAPORE,45,EW-8+9,JEBEL ALI,KARACHI,KPT,10/19/2024
9226700,PANTHERA J,GENERAL CARGO,LIBERIA,1315,WW-21,RAS LAFFAN,KARACHI,KPT,10/19/2024
9282778,TAN BINH 256,BULK CARRIER,PANAMA,1400,EW-4,COLOMBO,KARACHI,KPT,10/19/2024
9154191,MSC POSITANO,CONTAINER SHIP,LIBERIA,824,QICT-9,MUNDRA,PORT QASIM,PQA,10/19/2024
9307179,AL DEEBEL,LNG TANKER,BAHAMAS,942,EETL,RAS LAFFAN,PORT QASIM,PQA,10/19/2024
9374296,FALCON ROYAL,OIL/CHEMICAL TANKER,SINGAPORE,1142,LCT,ABU DHABI,PORT QASIM,PQA,10/19/2024
9539482,SAFEEN POWER,CONTAINER SHIP,MARSHALL ISLANDS,100,WW-28+29,JEBEL ALI,KARACHI,KPT,10/20/2024
9955002,HG BREMEN,BULK CARRIER,LIBERIA,155,EW-16+17,ANNABA,KARACHI,KPT,10/20/2024
9335836,ELENORE,OIL/CHEMICAL TANKER,PANAMA,210,EW-2,DUBAI,KARACHI,KPT,10/20/2024
9790610,CHEMROAD AQUA,OIL/CHEMICAL TANKER,LIBERIA,310,OP-2,NHAVA SHEVA,KARACHI,KPT,10/20/2024
9393084,BAM BAM,CRUDE OIL TANKER,LIBERIA,325,OP-1,MINA ABD ALLAH,KARACHI,KPT,10/20/2024
9462043,APL BARCELONA,CONTAINER SHIP,SINGAPORE,1310,SAPT+3,KHALIFA,KARACHI,KPT,10/20/2024
9720081,STOLT EXCELLENCE,OIL/CHEMICAL TANKER,CAYMAN ISLANDS,1345,WW-24+25,KANDLA,KARACHI,KPT,10/20/2024
9877614,SOLAR SHARNA,OIL/CHEMICAL TANKER,MARSHALL ISLANDS,1820,WW-25,KANDLA,KARACHI,KPT,10/20/2024
9597501,APL PHOENIX,CONTAINER SHIP,SINGAPORE,1900,SAPT-2,JEBEL ALI,KARACHI,KPT,10/20/2024
9301976,NAVE CIELO,CRUDE OIL TANKER,CAYMAN ISLANDS,912,FOTCO,FUJAIRAH,PORT QASIM,PQA,10/20/2024
9285952,LUSAIL,LNG TANKER,BAHAMAS,1105,PGPCL,RAS LAFFAN,PORT QASIM,PQA,10/20/2024
9550266,ALEA,BULK CARRIER,BAHAMAS,1230,FAP,AL JUBAIL,PORT QASIM,PQA,10/20/2024
9241918,TSS AMBER,CONTAINER SHIP,PANAMA,1450,QICT-8,SALALAH,PORT QASIM,PQA,10/20/2024
9741566,XIN HAI TONG 8,BULK CARRIER,HONG KONG,1524,MW-4,RICHARDS BAY,PORT QASIM,PQA,10/20/2024
9931537,ELLAN MANX,BULK CARRIER,UNITED KINGDOM,1536,PIBT,TABONEO ANCH,PORT QASIM,PQA,10/20/2024
9496616,YM EXCELLENCE,CONTAINER SHIP,LIBERIA,205,WW-26+27,SINGAPORE,KARACHI,KPT,21-10-2024
9323766,T VEGA,OIL/CHEMICAL TANKER,LIBERIA,215,EW-2,AL JUBAIL,KARACHI,KPT,21-10-2024
9197143,DAEWON,OIL/CHEMICAL TANKER,KOREA,255,OP-3,JEBEL ALI,KARACHI,KPT,21-10-2024
9596715,OCEAN FEATHER,BULK CARRIER,SINGAPORE,1920,EW-13+14,PORT KLANG,KARACHI,KPT,21-10-2024
9732929,CL HUAIYANG,OIL/CHEMICAL TANKER,MARSHALL ISLANDS,1218,LCT,NHAVA SHEVA,PORT QASIM,PQA,21-10-2024
9155341,DRAVIN,LPG TANKER,GABON,1155,SSGC,KHOR AL ZUBAIR,PORT QASIM,PQA,21-10-2024
9875379,X PRESS ALTAIR,CONTAINER SHIP,SINGAPORE,1610,QICT-5,JEBEL ALI,PORT QASIM,PQA,21-10-2024
9085558,KARLSKRONA,CONTAINER SHIP,LIBERIA,1615,QICT-9,JEBEL ALI,PORT QASIM,PQA,21-10-2024
9616113,VALENTINA,BULK CARRIER,LIBERIA,1915,MW-1,DAHEJ,PORT QASIM,PQA,21-10-2024
9304813,XIN CHANG SHU,CONTAINER SHIP,CHINA,300,WW-28+29,COLOMBO,KARACHI,KPT,22-10-2024
9189354,DIMITRIS Y,CONTAINER SHIP,LIBERIA,310,SAPT-4,KARACHI,ORDER,KPT,22-10-2024
9337250,ADDISON,CONTAINER SHIP,LIBERIA,330,EW-8+9,JEBEL ALI,KARACHI,KPT,22-10-2024
9467043,JOLLY ARGENTO,CONTAINER SHIP,PORTUGAL,410,EW-6+7,KARACHI,KHALIFA,KPT,22-10-2024
9302475,CANDOUR 8,BULK CARRIER,PANAMA,450,WW-24,SALALAH,KARACHI,KPT,22-10-2024
9416068,RABIGH SUNSHINE,OIL/CHEMICAL TANKER,PANAMA,450,EW-1,KARACHI,SALALAH,KPT,22-10-2024
9370707,PACIFIC HORIZON II,OIL/CHEMICAL TANKER,JAPAN,540,OP-3,YEOSU,KARACHI,KPT,22-10-2024
9301976,NAVE CIELO,CRUDE OIL TANKER,CAYMAN ISLANDS,700,OP-2,PORT QASIM,KARACHI,KPT,22-10-2024
9347889,ANNA M,BULK CARRIER,LIBERIA,2030,EW-14+15,KAKINADA,KARACHI,KPT,22-10-2024
9315202,MAERSK SENTOSA,CONTAINER SHIP,USA,845,QICT-7,JEBEL ALI,PORT QASIM,PQA,22-10-2024
9294989,MSC MUNDRA VIII,CONTAINER SHIP,LIBERIA,1340,QICT-9,KHALIFA,PORT QASIM,PQA,22-10-2024
9235957,RASHA,BULK CARRIER,ST KITTS NEVIS,1445,MW-2,AL ADABIYAH,PORT QASIM,PQA,22-10-2024
9339856,ATLANTIC IBIS,CONTAINER SHIP,MARSHALL ISLANDS,1815,QICT-5,PORT QASIM,KARACHI,PQA,22-10-2024
9575175,MARIMAN,BULK CARRIER,MARSHALL ISLANDS,1845,PIBT,PORT QASIM,SIMAISMA,PQA,22-10-2024
9725160,HYUNDAI PLUTO,CONTAINER SHIP,UNITED KINGDOM,125,SAPT-2,NHAVA SHEVA,KARACHI,KPT,23-10-2024
9938896,ZHONG GU HANG ZHOU,CONTAINER SHIP,CHINA,435,SAPT-3,MUNDRA,KARACHI,KPT,23-10-2024
9264465,ZHENG HE 3,CHEMICAL TANKER,LIBERIA,520,EW-1+2,KAKINADA,KARACHI,KPT,23-10-2024
9737747,HAFNIA PRIDE,CRUDE OIL TANKER,SINGAPORE,610,OP-1,SINGAPORE,KARACHI,KPT,23-10-2024
9523017,XIN HANG ZHOU,CONTAINER SHIP,CHINA,1505,WW-28+29,JEBEL ALI,KARACHI,KPT,23-10-2024
9653185,KIRAN ADRIATIC ,BULK CARRIER,MALTA,1600,EW-11+12,JINGTANG,KARACHI,KPT,23-10-2024
9494876,SG PEGASUS,CHEMICAL TANKER,PANAMA,1645,EW-2,AL JUBAIL,KARACHI,KPT,23-10-2024
9339856,ATLANTIC IBIS,CONTAINER SHIP,MARSHALL ISLANDS,1725,WW-26+27,PORT QASIM,KARACHI,KPT,23-10-2024
9702728,AGIOS NIKOLAS,BULK CARRIER,MARSHALL ISLANDS,1810,WW-21,PORT QASIM,KARACHI,KPT,23-10-2024
9154191,MSC POSITANO,CONTAINER SHIP,LIBERIA,1445,QICT-5,MUNDRA,PORT QASIM,PQA,23-10-2024
9525352,MAERSK CAPE TOWN,CONTAINER SHIP,SINGAPORE,1445,QICT-9,NHAVA SHEVA,PORT QASIM,PQA,23-10-2024
9393084,BAM BAM,CRUDE OIL TANKER,LIBERIA,1530,FOTCO,KARACHI,PORT QASIM,PQA,23-10-2024
9718777,MAHADAH SILVER,OIL/CHEMICAL TANKER,MARSHALL ISLANDS,1840,LCT,KANDLA,PORT QASIM,PQA,23-10-2024
9778129,HAIPHONG EXPRESS,CONTAINER SHIP,HONG KONG,410,SAPT-4,JEBEL ALI,KARACHI,KPT,24-10-2024
9318101,CMA CGM PASCUALE,CONTAINER SHIP,MALTA,1415,SAPT-3+2,NHAVA SHEVA,KARACHI,KPT,24-10-2024
9373242,MALMO,OIL/CHEMICAL TANKER,MALTA,1500,OP-2,SAN LORENZO,KARACHI,KPT,24-10-2024
9447914,TORRENTE,CONTAINER SHIP,LIBERIA,948,QICT-9,SAVANNAH,PORT QASIM,PQA,24-10-2024
9308431,UMM BAB,LNG TANKER,GREECE,1330,EETL,RAS LAFFAN,PORT QASIM,PQA,24-10-2024
900794,AFRICAN HARRIER,BULK CARRIER,BAHAMAS,1800,MW-1,MUMBAI,PORT QASIM,PQA,24-10-2024
9243198,SOURCE BLESSING,CONTAINER SHIP,LIBERIA,710,WW-26+27,JEBEL ALI,KARACHI,KPT,25-10-2024
9933834,ZHONG GU CHONG QING,CONTAINER SHIP,CHINA,720,SAPT-4,PIPAVAV,KARACHI,KPT,25-10-2024
9699361,PAN IMPERIAL,BULK CARRIER,PANAMA,755,EW-16+17,FANGCHENG,KARACHI,KPT,25-10-2024
9360465,SARGODHA,CRUDE OIL TANKER,PAKISTAN,850,OP-3,DAMMAM,KARACHI,KPT,25-10-2024
9367827,CMA CGM ZANZIBAR,CONTAINER SHIP,MALTA,915,EW-6+7,SOHAR,KARACHI,KPT,25-10-2024
9796274,JARU BHUM,CONTAINER SHIP,THAILAND,1800,EW-9+8,JEBEL ALI,KARACHI,KPT,25-10-2024
9567544,KNOSSOS,BULK CARRIER,MALTA,1835,EW-13+14,MUMBAI,KARACHI,KPT,25-10-2024
9609627,SCARLET ROSELLA,BULK CARRIER,PANAMA,1130,FAP,KWINANA,PORT QASIM,PQA,25-10-2024
9643219,PORTO FISCARDO,BULK CARRIER,PANAMA,1515,PIBT,MTWARA,PORT QASIM,PQA,25-10-2024
9637624,SAGA,OIL/CHEMICAL TANKER,PANAMA,1545,LCT,KARIANGAU,PORT QASIM,PQA,25-10-2024
9318101,CMA CGM DON PASCUALE,CONTAINER SHIP,MALTA,1810,QICT-9,NHAVA SHEVA,PORT QASIM,PQA,25-10-2024
9345958,NAVIOS JASMINE,CONTAINER SHIP,PANAMA,900,WW-26+27,JEBEL ALI,KARACHI,KPT,27-10-2024
9318060,BELITA,CONTAINER SHIP,LIBERIA,1700,SAPT-2,JEBEL ALI,KARACHI,KPT,27-10-2024
9236511,SM MAHI,CONTAINER SHIP,INDIA,2125,SAPT-1,NHAVA SHEVA,KARACHI,KPT,27-10-2024
9932892,MSC MARA,CONTAINER SHIP,LIBERIA,2135,SAPT-4,MUNDRA,KARACHI,KPT,27-10-2024
9360453,MARDAN,CRUDE OIL TANKER,PAKISTAN,2230,OP-1,ZIRKU TANKER ANCH,KARACHI,KPT,27-10-2024
9931185,YU TONG,OIL/CHEMICAL TANKER,CHINA,2355,OP-2,HAZIRA,KARACHI,KPT,27-10-2024
9797694,CAPTAIN DIMITRIS,BULK CARRIER,MARSHALL ISLANDS,935,MW-2,MUMBAI,PORT QASIM,PQA,27-10-2024
9454187,ZARAAR HANIF,BULK CARRIER,BANGLADESH,940,PIBT,BURNSIDE,PORT QASIM,PQA,27-10-2024
9360697,APOLLON D,CONTAINER SHIP,PORTUGAL,1800,QICT-7,SALALAH,PORT QASIM,PQA,27-10-2024
9800013,EVA BERGEN,OIL/CHEMICAL TANKER,PHILIPPINES,1800,EVTL,JORF LASFAR,PORT QASIM,PQA,27-10-2024
