IMO,NAME,TYPE,FLAG,ARRIV/TIME,BERTH,LPOC,NPOC,PORT,ARRI/DATE
9467043,JOLLY ARGENTO,CONTAINER SHIP,PORTUGAL,410,EW-6+7,PORT-0035,KHALIFA,PORT-0041,22-10-2024
9302475,CANDOUR 8,BULK CARRIER,PANAMA,450,WW-24,PORT-0072,KARACHI,PORT-0041,22-10-2024
9416068,RABIGH SUNSHINE,OIL/CHEMICAL TANKER,PANAMA,450,EW-1,PORT-0035,SALALAH,PORT-0041,22-10-2024
9370707,PACIFIC HORIZON II,OIL/CHEMICAL TANKER,JAPAN,540,OP-3,PORT-0097,KARACHI,PORT-0041,22-10-2024
9301976,NAVE CIELO,CRUDE OIL TANKER,CAYMAN ISLANDS,700,OP-2,PORT-0064,KARACHI,PORT-0041,22-10-2024
9347889,ANNA M,BULK CARRIER,LIBERIA,2030,EW-14+15,PORT-0033,KARACHI,PORT-0041,22-10-2024
9315202,MAERSK SENTOSA,CONTAINER SHIP,USA,845,QICT-7,PORT-0030,PORT QASIM,PORT-0066,22-10-2024
9294989,MSC MUNDRA VIII,CONTAINER SHIP,LIBERIA,1340,QICT-9,PORT-0038,PORT QASIM,PORT-0066,22-10-2024
9235957,RASHA,BULK CARRIER,ST KITTS NEVIS,1445,MW-2,PORT-0003,PORT QASIM,PORT-0066,22-10-2024
9339856,ATLANTIC IBIS,CONTAINER SHIP,MARSHALL ISLANDS,1815,QICT-5,PORT-0064,KARACHI,PORT-0066,22-10-2024
9575175,MARIMAN,BULK CARRIER,MARSHALL ISLANDS,1845,PIBT,PORT-0064,SIMAISMA,PORT-0066,22-10-2024
9725160,HYUNDAI PLUTO,CONTAINER SHIP,UNITED KINGDOM,125,SAPT-2,PORT-0057,KARACHI,PORT-0041,23-10-2024
9938896,ZHONG GU HANG ZHOU,CONTAINER SHIP,CHINA,435,SAPT-3,PORT-0054,KARACHI,PORT-0041,23-10-2024
9264465,ZHENG HE 3,CHEMICAL TANKER,LIBERIA,520,EW-1+2,PORT-0033,KARACHI,PORT-0041,23-10-2024
9737747,HAFNIA PRIDE,CRUDE OIL TANKER,SINGAPORE,610,OP-1,PORT-0080,KARACHI,PORT-0041,23-10-2024
9523017,XIN HANG ZHOU,CONTAINER SHIP,CHINA,1505,WW-28+29,PORT-0030,KARACHI,PORT-0041,23-10-2024
9653185,KIRAN ADRIATIC ,BULK CARRIER,MALTA,1600,EW-11+12,PORT-0031,KARACHI,PORT-0041,23-10-2024
9494876,SG PEGASUS,CHEMICAL TANKER,PANAMA,1645,EW-2,PORT-0005,KARACHI,PORT-0041,23-10-2024
9339856,ATLANTIC IBIS,CONTAINER SHIP,MARSHALL ISLANDS,1725,WW-26+27,PORT-0064,KARACHI,PORT-0041,23-10-2024
9702728,AGIOS NIKOLAS,BULK CARRIER,MARSHALL ISLANDS,1810,WW-21,PORT-0064,KARACHI,PORT-0041,23-10-2024
9154191,MSC POSITANO,CONTAINER SHIP,LIBERIA,1445,QICT-5,PORT-0054,PORT QASIM,PORT-0066,23-10-2024
9525352,MAERSK CAPE TOWN,CONTAINER SHIP,SINGAPORE,1445,QICT-9,PORT-0057,PORT QASIM,PORT-0066,23-10-2024
9393084,BAM BAM,CRUDE OIL TANKER,LIBERIA,1530,FOTCO,PORT-0035,PORT QASIM,PORT-0066,23-10-2024
9718777,MAHADAH SILVER,OIL/CHEMICAL TANKER,MARSHALL ISLANDS,1840,LCT,PORT-0034,PORT QASIM,PORT-0066,23-10-2024
